平台,标题,内容摘要,发布时间,点赞数,评论数,转发数,发布者名称,发布者类型,命中关键词,内容主题,情绪倾向,可信度等级,数据来源链接
知乎,马耳他永久居留计划（MPRP）2025年最新政策详解,马耳他政府颁布第146号法律通知对MPRP进行修订，新增1年期临时居留许可机制，申请人通过背景调查后可获批临时居留，6个月内提交完整材料后可转换为正式居留证书,2025-10-15,预估800+,预估200+,预估100+,知乎专栏,专业机构,马耳他+永居+MPRP,政策解读,中性,B级,https://zhuanlan.zhihu.com/p/1931192915750806525
微信公众号,重磅消息！中国决定对马耳他免签,从2024年11月30日起至2025年12月31日，中国对马耳他试行免签政策，免签停留期限延长至30天。马耳他移民局同期宣布黄金签证申请费用上涨,2025-11-20,预估1000+,预估300+,预估150+,专业出国移民海外投资机构,官方媒体,马耳他+黄金签证+移民,政策解读,正面,A级,https://www.top-ark.com/article-1284-1.html
微信公众号,马耳他MPRP新政详解：政策优化提升投资价值,2025年7月22日马耳他政府颁布第146号法律通知对MPRP进行里程碑式修订，引入1年期临时居留许可，优化租赁规则，调整费用结构,2025-10-08,预估600+,预估150+,预估80+,智奥胜出国,中介,马耳他+MPRP+永居,中介推广,正面,C级,http://mp.weixin.qq.com/s?__biz=MjM5MzE1NDQyMQ==&mid=2652456712&idx=1&sn=034c04673277fcb38e863fa673b5680e
小红书,马耳他永居计划2025年1月1日起开始涨价,马耳他移民局正式发布MPRP新规，2025年1月1日生效：购房最低金额从30万欧涨至37.5万欧，租房从1万欧/年涨至1.4万欧/年，管理费从4万欧涨至5万欧，新增受养人费用1万欧/人,2025-11-25,预估1200+,预估400+,预估200+,欧洲移民内参,专业机构,马耳他+永居+MPRP,政策解读,负面,B级,https://euym.immiknow.com/gonggao/24112627066.html
微信公众号,「马耳他移民」2025年1月1日起涨价新政生效,主申请人资产要求：50万欧资产（15万欧金融资产）或65万欧资产（7.5万欧金融资产）；购房最低37.5万欧；租房最低1.4万欧/年；主申请人费用5万欧；受养人费用1万欧/人,2025-11-20,预估900+,预估250+,预估120+,澳德华移民,中介,马耳他+移民+永居,中介推广,负面,C级,https://www.adh.cn/mobile/index/article-info.html?id=10834
微信公众号,重磅！马耳他移民官宣涨价，2025年1月正式实施,马耳他官方宣布自2025年1月1日起调整MPRP永居项目相关费用，房产门槛提高，政府费用大幅上涨,2025-11-20,预估800+,预估200+,预估100+,燕姐谈移民,移民博主,马耳他+移民+永居,政策解读,负面,C级,https://mp.weixin.qq.com/s/zG_IYB2UwvHmV7YXfAQwuQ
知乎,2025年希腊黄金签证：投资门槛提高还能移民吗,2025年希腊黄金签证投资门槛变化：热门地区购房门槛从25万欧元提高至80万欧元，非热门地区40万欧元，商改住项目仍保留25万欧元门槛,2025-10-20,预估1500+,预估500+,预估300+,景鸿移民,专业机构,希腊+黄金签证+移民,政策解读,中性,B级,https://www.ekimmigration.com/baike/greece/16647.html
知乎,2025希腊黄金签证新政：流程灵活监管升级,希腊黄金签证以25万欧元起超低投资门槛吸引全球投资者，2025年新政更加灵活但监管升级，违规者将被撤销身份并列入黑名单,2025-10-15,预估1000+,预估350+,预估200+,绅移移民,中介,希腊+黄金签证+移民,中介推广,正面,C级,https://www.sywzz.com/new/18106.html
小红书,希腊移民2025年官方数据出炉,截至2025年9月希腊境内合法移民总数突破91.1万人，第三国公民占比56.5%。2025年1-9月黄金签证共收到5747份申请，中国申请人占比47.9%,2025-12-01,预估2000+,预估600+,预估400+,外世移民咨询,专业机构,希腊+黄金签证+移民,政策解读,中性,B级,https://mp.weixin.qq.com/s/zlxbzjw24pt2-xB3OXctAA
知乎,希腊黄金签证2025年新政详解,2025年希腊黄金签证流程可远程完成，采用八步法：评估、律师授权、选房、签约、过户、递交申请、获蓝纸、打指纹制卡,2025-10-10,预估1200+,预估400+,预估250,英国法律管家,专业机构,希腊+黄金签证+永居,政策解读,正面,B级,https://jurify.co.uk/blog/greece-golden-visa-2025-policy-guide
