序号,命中关键词,标题,内文,媒体名称（中文）,版面,出版日期,媒体类型,作者,情感,原文链接,粉丝数,阅读数,点赞数,评论数,转发数,收藏数
1,马耳他 MPRP 黄金签证,2025 年马耳他移民政策全景解读：永居、工签及福利调整全梳理,"马耳他作为集欧盟成员国、申根国、欧元区、英联邦四位一体的国家，2025年以来对永久居留计划（MPRP）进行系统性调整。新增1年期临时居留许可机制，申请人通过背景审查后可先获得临时居留，6个月内提交完整材料后转为正式永居。费用结构优化，非全职配偶、未成年子女等可免除7500欧元/人的附属申请费。",领新咨询Linking,移民政策,2025-08-26,微信公众号,Bianca,正面,http://mp.weixin.qq.com/s?__biz=MzU4ODQ5MTYxMQ==&mid=2247526113&idx=2&sn=8e5922cf4629dc1ebbaf27ccfa055069,N/A,N/A,N/A,N/A,N/A,N/A
2,马耳他 MPRP 涨价,突发！马耳他官宣涨价，2025年1月1日正式实施！,"马耳他移民局正式发布新规，全面修订MPRP，2025年1月1日起费用大涨价。主申请人资产要求：不低于50万欧元资产（其中15万欧金融资产）或65万欧元总资产（其中7.5万欧金融资产）。购房最低37.5万欧元，租房年租金最低1.4万欧元。主申请人管理费涨至5万欧元，新增受养人费用1万欧元/人。",新嘉出国,移民资讯,2024-11-20,微信公众号,新嘉顾问,负面,https://m.10100.com/article/64178186,N/A,N/A,N/A,N/A,N/A,N/A
3,马耳他 MPRP 新政,马耳他MPRP新政详解：政策优化提升投资价值，居留规划迎来新机遇,"2025年7月22日马耳他政府颁布第146号法律通知，对MPRP进行里程碑式修订。新政三大突破：1）临时居留许可实现提前登陆；2）家庭申请综合成本显著降低，部分家属可免除7500欧/人费用；3）房产权益升级，购房后即可出租。",智奥胜出国,移民政策,2025-07-31,微信公众号,智奥胜出国,正面,http://mp.weixin.qq.com/s?__biz=MjM5MzE1NDQyMQ==&mid=2652456712&idx=1&sn=034c04673277fcb38e863fa673b5680e,N/A,N/A,N/A,N/A,N/A,N/A
4,马耳他 永居,"【涨价】马耳他MPRP政策调整，2025年1月1日起实施！",马耳他政府修订MPRP，2025年1月1日生效。资格标准：主申请人需拥有至少50万欧元资产（其中15万欧元金融资产）或65万欧元总资产（其中7.5万欧元金融资产）。成年子女18-29岁可作为受养人。购房最低37.5万欧元，租房年租金最低1.4万欧元。主申请人管理费5万欧元，受养人1万欧元/人。,澳德华移民,移民公告,2024-11-20,微信公众号,澳德华,负面,https://www.adh.cn/mobile/index/article-info.html?id=10834,N/A,N/A,N/A,N/A,N/A,N/A
5,马耳他 黄金签证,马耳他永居计划2025年1月1日起开始涨价！,"2024年11月19日马耳他移民局宣布MPRP全面修订，2025年1月1日生效。申请条件变化：1）主申请人资产证明不低于50万欧元（其中15万欧金融资产）或65万欧元（其中7.5万欧金融资产）；2）随行子女年龄18-29岁。购房门槛提至37.5万欧元，租房提至1.4万欧元/年。",领先移民,移民资讯,2024-12-05,微信公众号,领先移民,负面,http://www.leadvisa.com/index.php/mapp/index/news_detail/type/information/id/2215,N/A,N/A,N/A,N/A,N/A,N/A
6,马耳他 MPRP 2025,马耳他永久居留计划（MPRP）2025年最新政策详解：新增临时居留许可,"过渡期安排：由原Agenzija Komunitá Malta签发的现有许可证有效期延续至2025年12月31日。2025年7月22日新政引入1年期临时居留许可，通过背景调查后可先获临时居留，期间可通行申根区。",移民专家,政策解读,2025-07-23,知乎,移民专家,中性,https://zhuanlan.zhihu.com/p/1931192915750806525,N/A,N/A,N/A,N/A,N/A,N/A
7,葡萄牙 黄金签证,葡萄牙大选进入白热化：黄金签证"末班车"将提前关停？,"2025年10月议会已通过'非葡语国家公民入籍年限延至10年'提案，12月该提案被宪法法院驳回，暂时维持5年入籍福利。极右翼CHEGA党领袖André Ventura表态一旦胜选将推动立即全面废除黄金签证项目。",环球出国,移民动态,2026-01-10,网媒,环球出国,负面,https://www.globevisa.com.cn/news/portugal-65414/,N/A,N/A,N/A,N/A,N/A,N/A
8,葡萄牙 黄金签证 入籍,葡萄牙黄金签证：2025年12月新规及更新,"葡萄牙议会批准法案将入籍期限从5年延至10年，但尚未成为法律。12月提交宪法法院审查后被驳回。目前申请人根据现有五年规则获得豁免。黄金签证优势：每两年居住满14天即可，5年后可申请入籍。",Englead,移民法律,2025-12-28,网媒,Englead,中性,https://englead.co.uk/葡萄牙黄金签证-2025年12月新规及更新/,N/A,N/A,N/A,N/A,N/A,N/A
9,葡萄牙 移民政策,葡萄牙移民政策有变，黄金签证受到"追捧"？,"葡萄牙部长理事会宣布国籍法修改：入籍时间从5年延至10年，提高语言和融入要求，在葡出生不再自动入籍（父母需居住满3年）。但黄金签证可能不受新规影响，或保留差异化待遇。",移民通,政策解读,2025-09-03,微信公众号,移民专家,中性,http://mp.weixin.qq.com/s?__biz=Mzg4MDc4MDA4MQ==&mid=2247502227&idx=3&sn=f2679604f310606db2ddfeccee159ab7,N/A,N/A,N/A,N/A,N/A,N/A
10,葡萄牙 黄金签证 签发量,暴增72%！葡萄牙黄金签证签发量创新高，新政府释放哪些信号？,"2024年葡萄牙共签发黄金签证4987张，同比暴增72%创新高。AIMA正加紧处理积压的近4.5万份申请，目标2025年年底前完成全部审理。新政府明确支持黄金签证政策。",环球出国,移民数据,2025-09-16,网媒,环球出国,正面,https://www.globevisa.com.cn/news/64955.html,N/A,N/A,N/A,N/A,N/A,N/A
11,希腊 黄金签证,希腊黄金签证2024年度数据大复盘：破纪录背后，这些趋势你必须知道！,"2024年希腊黄金签证主申请人新申请量达9289份，同比增长10%，创历史纪录。Q4月均申请量1048份，较前三季度均值暴增53%。中国投资者占比56%领跑。截至2024年底，1.2万份申请待审批。",移民内参,数据分析,2025-03-12,微信公众号,移民内参,正面,http://mp.weixin.qq.com/s?__biz=MzkxNjQ3NDI3NQ==&mid=2247489247&idx=1&sn=c36576153c2788220f09e5faad929d3c,N/A,N/A,N/A,N/A,N/A,N/A
12,希腊 购房移民,2025年希腊购房移民最新政策全解：€80万/€40万/€25万门槛,"2024年9月1日起希腊实施三档门槛：高需求区（雅典、塞萨洛尼基等）80万欧/120㎡，其他地区40万欧/120㎡，商改住/文保建筑25万欧。过渡期延至2025年2月28日。2024年Q4申请量暴增53%。",希腊移民网,政策解读,2025-07-26,网媒,希腊移民专家,中性,https://www.xlysw.com/knowledge/visa-immigration/6022.html,N/A,N/A,N/A,N/A,N/A,N/A
13,希腊 黄金签证 数据,希腊公布"黄金签证"最新数据,"2025年9月希腊黄金签证新申请仅392份，同比骤降49.7%。中国投资者获批8792份，稳居第一。待审批申请逾1.2万份。热门地区门槛提至80万欧元。",潮新闻,新闻报道,2025-11-07,网媒,潮新闻,中性,https://tidenews.com.cn/tmh_news.html?id=690dcaea7831300001941dcb,N/A,N/A,N/A,N/A,N/A,N/A
14,希腊 移民,希腊购房移民使命终结？全新"创业黄金签证"强势推出！,"希腊移民部长2026年1月宣布将提交法案改革黄金签证。2013年推出以来吸引外资超80亿欧元。目前仍可通过商改住（25万欧）和历史建筑改造（25万欧）获得永居。",高晟移民,政策前瞻,2026-01-30,网媒,高晟移民,负面,https://www.gasheng.com/content-189-9948-1.html,N/A,N/A,N/A,N/A,N/A,N/A
15,塞浦路斯 永居,塞浦路斯移民政策2025：申请条件、优势、适合人群,"塞浦路斯购房移民要求：购买30万欧元以上房产，年收入证明5万欧元（原3万欧），3万欧元定期存款锁定3年。随行家属包括配偶、25岁以下未婚子女、双方父母。预计2025年加入申根区。",绿野移民,移民政策,2025-12-23,网媒,绿野移民,正面,https://www.gfcvisa.com/29217.html,N/A,N/A,N/A,N/A,N/A,N/A
16,塞浦路斯 移民,2025年塞浦路斯永居最新政策大揭秘！普通人怎么轻松拿身份？,"2025年塞浦路斯政策：购房30万欧元获永居，年收入要求5万欧元，每增加父母附属申请人多提供8000欧元。无移民监，每两年登陆一次。预计2025年正式成为申根成员国。",9教育,移民攻略,2025-09-22,网媒,移民达人,正面,https://www.9educ.com/saipulusi/199845.html,N/A,N/A,N/A,N/A,N/A,N/A
17,塞浦路斯 黄金签证,2025如何通过30万欧购房移民获得塞浦路斯永居？,"塞浦路斯2025年7月房地产交易1832笔，同比增长11%，创18年来最高纪录。30万欧元购房+增值税可获永居。申请步骤：选房签约→准备材料→递交申请→获批登陆。审批周期2-6个月。",滨屿移民,移民攻略,2025-09-12,网媒,滨屿移民,正面,https://www.binyuvisa.com/news/show-54072.html,N/A,N/A,N/A,N/A,N/A,N/A
